,Unnamed: 0.1,Unnamed: 0,tau_a,dom_frequ,down_duration,down_duration_ratio,up_duration,up_duration_ratio
0,0,0,10.0,11.9,0.0475647058823529,0.5660199999999999,0.0364689075630252,0.4339800000000001
1,1,1,300.0,3.25,0.1616,0.5252,0.1460923076923077,0.4747999999999999
2,2,2,600.0,2.3000000000000003,0.2287999999999999,0.5262399999999998,0.2059826086956522,0.4737600000000001
3,3,3,900.0,1.9,0.2788763157894737,0.529865,0.2474394736842105,0.4701349999999999
4,4,4,1200.0,1.65,0.3157484848484848,0.5209849999999999,0.2903121212121212,0.479015
5,5,5,1500.0,1.4500000000000002,0.3612862068965516,0.5238649999999999,0.3283689655172414,0.4761350000000001
6,6,6,1800.0,1.35,0.3854407407407407,0.520345,0.3553,0.479655
7,7,7,2100.0,1.25,0.4194880000000001,0.52436,0.380512,0.47564
8,8,8,2400.0,1.15,0.4594652173913043,0.528385,0.4100999999999999,0.4716149999999999
9,9,9,2700.0,1.1,0.4742090909090909,0.5216299999999999,0.4348818181818182,0.4783699999999999
10,10,10,3000.0,1.05,0.4940476190476191,0.51875,0.4583333333333333,0.4812499999999999
11,11,11,3300.0,1.0,0.5234800000000001,0.5234800000000001,0.47652,0.47652
12,12,12,3600.0,0.95,0.5580947368421053,0.5301899999999999,0.4945368421052632,0.46981
13,13,13,3900.0,0.9,0.5808222222222224,0.5227400000000001,0.5302888888888889,0.47726
14,14,14,4200.0,0.8500000000000001,0.6229176470588236,0.52948,0.5535529411764707,0.47052
15,15,15,4500.0,0.8500000000000001,0.6153176470588236,0.5230199999999999,0.5611529411764707,0.47698
16,16,16,4800.0,0.8,0.6684875000000001,0.53479,0.5815125000000001,0.46521
17,17,17,5100.0,0.8,0.6641625,0.53133,0.5858375,0.46867
18,18,18,5400.0,0.75,0.6990933333333333,0.5243199999999999,0.63424,0.47568
19,19,19,5700.0,0.75,0.6402466666666666,0.4801849999999999,0.6930866666666667,0.519815
20,20,20,6000.0,0.75,0.71014,0.5326049999999999,0.6231933333333334,0.467395
