,Unnamed: 0.1,Unnamed: 0,b,dom_frequ,down_duration,down_duration_ratio,up_duration,up_duration_ratio
0,0,0,0.0,0.05,0.0,0.0,20.0,1.0
1,1,1,0.025,0.7000000000000001,0.7494642857142857,0.524625,0.6791071428571428,0.475375
2,2,2,0.05,1.0,0.5540649999999999,0.5540649999999999,0.4459350000000001,0.4459350000000001
3,3,3,0.075,1.25,0.441112,0.5513899999999999,0.358888,0.4486099999999999
4,4,4,0.1,1.4500000000000002,0.3739793103448275,0.54227,0.3156758620689655,0.4577300000000001
5,5,5,0.125,1.6,0.33056875,0.52891,0.29443125,0.4710899999999999
6,6,6,0.15,1.8,0.2964055555555556,0.5335300000000001,0.25915,0.4664699999999999
7,7,7,0.175,1.95,0.268851282051282,0.5242600000000001,0.2439692307692307,0.47574
8,8,8,0.2,2.0500000000000003,0.2529073170731707,0.51846,0.2348975609756097,0.4815399999999999
9,9,9,0.225,2.2,0.2305590909090909,0.5072300000000001,0.2239863636363636,0.49277
10,10,10,0.25,2.3000000000000003,0.2198673913043478,0.505695,0.2149152173913043,0.4943049999999999
11,11,11,0.275,2.45,0.2037530612244898,0.499195,0.2044102040816326,0.500805
12,12,12,0.3,2.5500000000000003,0.1915627450980392,0.488485,0.2005941176470588,0.511515
13,13,13,0.325,2.6500000000000004,0.1912603773584905,0.50684,0.1860981132075471,0.49316
14,14,14,0.35,2.75,0.1831018181818182,0.5035300000000001,0.1805345454545454,0.4964699999999999
15,15,15,0.375,2.85,0.1653070175438596,0.4711249999999998,0.1855701754385965,0.5288750000000001
16,16,16,0.4,2.95,0.1643491525423728,0.48483,0.1746338983050847,0.51517
17,17,17,0.425,3.0500000000000003,0.1579606557377049,0.4817800000000001,0.1699081967213114,0.5182199999999999
18,18,18,0.45,3.1500000000000004,0.1507714285714285,0.4749299999999999,0.1666888888888888,0.5250699999999999
19,19,19,0.475,3.25,0.14334,0.4658549999999999,0.1643523076923077,0.534145
20,20,20,0.5,3.3000000000000003,0.1389666666666666,0.45859,0.1640636363636363,0.5414100000000001
