,b,I_e,I_i,#timesteps,#nodes,avg_rate
0,0.1,-0.4,-0.94,85.0,0,0.01857638530280214
0,0.1,0.0,-0.46,6106.0,15,0.0003249089298101289
0,0.1,0.04,-0.6,80.0,0,0.01700813382012436
0,0.1,0.3,-0.2,0.0,0,4.5517828297444653e-10
0,0.1,0.44,-0.1,0.0,0,1.2264008201468696e-10
0,0.1,0.6,0.08,0.0,0,4.5134108068523374e-11
0,0.1,0.82,0.16,0.0,0,1.372394259571523e-11
0,0.13,-0.4,-0.94,77.0,0,0.018275038644035596
0,0.13,0.0,-0.46,5747.0,12,0.00034538654549870533
0,0.13,0.04,-0.6,100.0,0,0.01750790563757819
0,0.13,0.3,-0.2,0.0,0,1.021937656199897e-09
0,0.13,0.44,-0.1,0.0,0,1.9841080141355834e-10
0,0.13,0.6,0.08,0.0,0,6.975468864245382e-11
0,0.13,0.82,0.16,0.0,0,2.086642309301334e-11
0,0.16000000000000003,-0.4,-0.94,78.0,0,0.018012007524623078
0,0.16000000000000003,0.0,-0.46,5175.0,12,0.00038287878861629
0,0.16000000000000003,0.04,-0.6,91.0,0,0.017904940610241844
0,0.16000000000000003,0.3,-0.2,5337.0,10,0.0003552001796396891
0,0.16000000000000003,0.44,-0.1,0.0,0,3.100735103277533e-10
0,0.16000000000000003,0.6,0.08,0.0,0,1.0246038594480255e-10
0,0.16000000000000003,0.82,0.16,0.0,0,3.004278818464004e-11
0,0.19000000000000003,-0.4,-0.94,82.0,0,0.0177430210466758
0,0.19000000000000003,0.0,-0.46,4924.0,10,0.0004047797529314099
0,0.19000000000000003,0.04,-0.6,57.0,0,0.018243175797550294
0,0.19000000000000003,0.3,-0.2,4914.0,10,0.00040302522134539145
0,0.19000000000000003,0.44,-0.1,0.0,0,4.814502656131075e-10
0,0.19000000000000003,0.6,0.08,0.0,0,1.4632510464707495e-10
0,0.19000000000000003,0.82,0.16,0.0,0,4.182952154973934e-11
0,0.22000000000000003,-0.4,-0.94,45.0,0,0.017450206125597757
0,0.22000000000000003,0.0,-0.46,4158.0,15,0.00047109491451187923
0,0.22000000000000003,0.04,-0.6,54.0,0,0.018508989379121876
0,0.22000000000000003,0.3,-0.2,4573.0,10,0.0004340766080743574
0,0.22000000000000003,0.44,-0.1,0.0,0,7.642889468912392e-10
0,0.22000000000000003,0.6,0.08,0.0,0,2.050411337770411e-10
0,0.22000000000000003,0.82,0.16,0.0,0,5.689246557138115e-11
0,0.25,-0.4,-0.94,50.0,0,0.017188443078507205
0,0.25,0.0,-0.46,4172.0,12,0.0004749259909066399
0,0.25,0.04,-0.6,50.0,0,0.018750085555274347
0,0.25,0.3,-0.2,4298.0,10,0.0004637214328918704
0,0.25,0.44,-0.1,0.0,0,1.305633960197953e-09
0,0.25,0.6,0.08,0.0,0,2.8466347485216375e-10
0,0.25,0.82,0.16,0.0,0,7.607666656860544e-11
0,0.28,-0.4,-0.94,52.0,0,0.0168580046888571
0,0.28,0.0,-0.46,3977.0,12,0.0005008757605617039
0,0.28,0.04,-0.6,60.0,0,0.018907356574900145
0,0.28,0.3,-0.2,4014.0,10,0.0004909986484694072
0,0.28,0.44,-0.1,0.0,0,2.8287527728293547e-09
0,0.28,0.6,0.08,0.0,0,3.9450427617074465e-10
0,0.28,0.82,0.16,0.0,0,1.00487499894936e-10
0,0.31000000000000005,-0.4,-0.94,4144.0,12,0.00047864966054025643
0,0.31000000000000005,0.0,-0.46,3823.0,10,0.0005139509908572021
0,0.31000000000000005,0.04,-0.6,55.0,0,0.01909454093908994
0,0.31000000000000005,0.3,-0.2,3778.0,12,0.0005253362735716274
0,0.31000000000000005,0.44,-0.1,3783.0,9,0.000522331425095062
0,0.31000000000000005,0.6,0.08,0.0,0,5.49952067163623e-10
0,0.31000000000000005,0.82,0.16,0.0,0,1.315715393190864e-10
0,0.3400000000000001,-0.4,-0.94,3993.0,12,0.0004950447817561087
0,0.3400000000000001,0.0,-0.46,3630.0,12,0.0005469876001669224
0,0.3400000000000001,0.04,-0.6,3614.0,10,0.0005495306259922812
0,0.3400000000000001,0.3,-0.2,3661.0,10,0.0005419792000379328
0,0.3400000000000001,0.44,-0.1,3714.0,12,0.0005347033927430812
0,0.3400000000000001,0.6,0.08,0.0,0,7.785662767227035e-10
0,0.3400000000000001,0.82,0.16,0.0,0,1.7138643755782061e-10
0,0.3700000000000001,-0.4,-0.94,3646.0,10,0.0005332998163908554
0,0.3700000000000001,0.0,-0.46,3534.0,10,0.000558724309473726
0,0.3700000000000001,0.04,-0.6,3475.0,10,0.0005701626447450069
0,0.3700000000000001,0.3,-0.2,3457.0,12,0.000575850033114864
0,0.3700000000000001,0.44,-0.1,3531.0,12,0.0005618740397686096
0,0.3700000000000001,0.6,0.08,0.0,0,1.1371202410707069e-09
0,0.3700000000000001,0.82,0.16,0.0,0,2.222319991839611e-10
0,0.4,-0.4,-0.94,3542.0,10,0.0005518668765685253
0,0.4,0.0,-0.46,3397.0,10,0.0005795207324800747
0,0.4,0.04,-0.6,3321.0,10,0.0005927989820278037
0,0.4,0.3,-0.2,3382.0,10,0.0005878302451273198
0,0.4,0.44,-0.1,3411.0,10,0.000584597006042806
0,0.4,0.6,0.08,0.0,0,1.7696285619437766e-09
0,0.4,0.82,0.16,0.0,0,2.879896100028891e-10
