,Unnamed: 0,tau_a,dom_frequ,down_duration,down_duration_ratio,up_duration,up_duration_ratio
0,0,10.0,0.0,0.0,,0.0,
1,1,300.0,3.25,0.1657446153846154,0.5386700000000001,0.1419476923076923,0.46132999999999996
2,2,600.0,2.3000000000000003,0.2346108695652173,0.539605,0.2001717391304347,0.460395
3,3,900.0,1.9,0.3035157894736842,0.57668,0.2228,0.42332000000000003
4,4,1200.0,1.65,0.3241666666666667,0.534875,0.2818939393939394,0.46512499999999996
5,5,1500.0,1.4500000000000002,0.3718931034482758,0.5392450000000001,0.3177620689655172,0.460755
6,6,1800.0,1.35,0.3999851851851851,0.5399799999999999,0.3407555555555556,0.4600200000000001
7,7,2100.0,1.25,0.4326359999999999,0.5407949999999999,0.367364,0.4592050000000001
8,8,2400.0,1.15,0.4624391304347826,0.5318050000000001,0.4071260869565217,0.46819500000000003
9,9,2700.0,1.1,0.4904181818181818,0.5394599999999999,0.4186727272727273,0.46054
10,10,3000.0,1.05,0.5168285714285715,0.5426700000000001,0.4355523809523809,0.4573299999999999
11,11,3300.0,1.0,0.53298,0.53298,0.46702,0.46702
12,12,3600.0,0.95,0.5648157894736843,0.536575,0.4878157894736843,0.46342500000000003
13,13,3900.0,0.9,0.5892166666666667,0.5302950000000001,0.5218944444444445,0.4697050000000001
14,14,4200.0,0.9,0.5943333333333334,0.5349,0.5167777777777778,0.46509999999999996
15,15,4500.0,0.8500000000000001,0.6329117647058824,0.5379749999999999,0.5435588235294119,0.46202499999999996
16,16,4800.0,0.8,0.65718125,0.525745,0.5928187500000001,0.47425500000000004
17,17,5100.0,0.8,0.62493125,0.49994500000000003,0.6250687500000001,0.500055
18,18,5400.0,0.75,0.7338866666666668,0.550415,0.5994466666666666,0.4495849999999999
19,19,5700.0,0.75,0.7122800000000001,0.5342100000000001,0.6210533333333335,0.46579000000000004
20,20,6000.0,0.75,0.7043933333333334,0.528295,0.62894,0.471705
