,I_e,I_i,avg_speed
0,-0.5,-1.0,0.0004101922010512285
0,-0.3999999999999999,-1.0,0.017762153383946863
0,-0.5,-0.9,0.002068995331938602
0,-0.3999999999999999,-0.9,0.00042765082060134156
0,-0.29999999999999993,-0.9,0.01908240732624341
0,-0.3999999999999999,-0.8,0.00041446226644182687
0,-0.29999999999999993,-0.8,0.0004495769547624986
0,-0.2,-0.8,0.019753652451648174
0,-0.29999999999999993,-0.7,0.00044155100729940174
0,-0.2,-0.7,0.00045693404424915283
0,-0.09999999999999998,-0.7,0.019772497358169903
0,-0.2,-0.6,0.0004490851899563921
0,-0.09999999999999998,-0.6,0.0004615635368724419
0,0.0,-0.6,0.019154472682266423
0,-0.09999999999999998,-0.5,0.00045541728550258084
0,0.0,-0.5,0.0004655375565963248
0,0.10000000000000007,-0.5,0.00047120448804929306
0,0.0,-0.3999999999999999,0.0004686449007047959
0,0.10000000000000007,-0.3999999999999999,0.00046657747730843033
0,0.20000000000000015,-0.3999999999999999,0.0004924912468552157
0,0.10000000000000007,-0.29999999999999993,0.0004727806643788258
0,0.20000000000000015,-0.29999999999999993,0.0004657322171785607
0,0.30000000000000004,-0.29999999999999993,0.00046525705922583377
0,0.30000000000000004,-0.2,0.0004674842022459224
0,0.4000000000000001,-0.09999999999999998,0.0004597972897629962
0,0.6000000000000001,0.0,0.00038008984557546513
0,0.7000000000000002,0.10000000000000007,0.00043686545550912633
