,tau_a,I_e,I_i,#timesteps,#nodes,avg_rate
0,300.0,-0.4,-0.94,58.0,0,0.01719696300303484
0,300.0,0.0,-0.46,2966.0,12,0.0006686523265665746
0,300.0,0.04,-0.6,74.0,0,0.01874387083206602
0,300.0,0.3,-0.2,3058.0,10,0.0006522118492321449
0,300.0,0.44,-0.1,0.0,0,3.666544645414965e-13
0,300.0,0.6,0.08,33016.0,1,8.105862513325957e-14
0,300.0,0.82,0.16,33018.0,0,2.1714999295235904e-14
0,510.0,-0.4,-0.94,80.0,0,0.017179510077538335
0,510.0,0.0,-0.46,3970.0,10,0.0005020182795983335
0,510.0,0.04,-0.6,91.0,0,0.01873828351782205
0,510.0,0.3,-0.2,3913.0,10,0.0005021804391039019
0,510.0,0.44,-0.1,0.0,0,3.1690000126110944e-10
0,510.0,0.6,0.08,0.0,0,6.925491666759029e-11
0,510.0,0.82,0.16,0.0,0,1.8522810280819854e-11
0,720.0,-0.4,-0.94,53.0,0,0.01717321367576924
0,720.0,0.0,-0.46,4337.0,15,0.00045386149535148884
0,720.0,0.04,-0.6,57.0,0,0.018751848297171907
0,720.0,0.3,-0.2,4658.0,10,0.00042309570683998646
0,720.0,0.44,-0.1,0.0,0,4.849125634072997e-09
0,720.0,0.6,0.08,0.0,0,1.0566129766340776e-09
0,720.0,0.82,0.16,0.0,0,2.821438663317376e-10
0,930.0,-0.4,-0.94,70.0,0,0.01716330876268194
0,930.0,0.0,-0.46,5300.0,10,0.00037380359665387173
0,930.0,0.04,-0.6,67.0,0,0.018746636851647867
0,930.0,0.3,-0.2,5301.0,10,0.0003718546423067977
0,930.0,0.44,-0.1,0.0,0,2.0290623695664737e-08
0,930.0,0.6,0.08,0.0,0,4.42771835869482e-09
0,930.0,0.82,0.16,0.0,0,1.184265850261287e-09
0,1140.0,-0.4,-0.94,86.0,0,0.017186288882475427
0,1140.0,0.0,-0.46,5873.0,10,0.00033752036436589174
0,1140.0,0.04,-0.6,75.0,0,0.018741215517954178
0,1140.0,0.3,-0.2,5838.0,10,0.0003380744374422681
0,1140.0,0.44,-0.1,0.0,0,4.743130470871521e-08
0,1140.0,0.6,0.08,0.0,0,1.0474116815588334e-08
0,1140.0,0.82,0.16,0.0,0,2.8049648449304016e-09
0,1350.0,-0.4,-0.94,61.0,0,0.017196089725844313
0,1350.0,0.0,-0.46,6254.0,12,0.0003183035763035861
0,1350.0,0.04,-0.6,83.0,0,0.01872030488314392
0,1350.0,0.3,-0.2,6333.0,12,0.00030910125699998606
0,1350.0,0.44,-0.1,0.0,0,8.118800928136173e-08
0,1350.0,0.6,0.08,0.0,0,1.826823301611648e-08
0,1350.0,0.82,0.16,0.0,0,4.9089427987102e-09
0,1560.0,-0.4,-0.94,77.0,0,0.017206420054971847
0,1560.0,0.0,-0.46,6412.0,15,0.00030841890997655784
0,1560.0,0.04,-0.6,89.0,0,0.018732493329118464
0,1560.0,0.3,-0.2,6789.0,10,0.00028408823149028174
0,1560.0,0.44,-0.1,0.0,0,1.1531172309417442e-07
0,1560.0,0.6,0.08,0.0,0,2.6613896742725372e-08
0,1560.0,0.82,0.16,0.0,0,7.183264341305701e-09
0,1770.0,-0.4,-0.94,52.0,0,0.01722767911554344
0,1770.0,0.0,-0.46,6765.0,15,0.000287670950657045
0,1770.0,0.04,-0.6,90.0,0,0.01869099583764952
0,1770.0,0.3,-0.2,7195.0,12,0.000273084173798121
0,1770.0,0.44,-0.1,0.0,0,1.456167614226075e-07
0,1770.0,0.6,0.08,0.0,0,3.4619809923674636e-08
0,1770.0,0.82,0.16,0.0,0,9.382296058657729e-09
0,1980.0,-0.4,-0.94,70.0,0,0.017255345867559592
0,1980.0,0.0,-0.46,7411.0,16,0.0002687970346930065
0,1980.0,0.04,-0.6,85.0,0,0.018677458489280617
0,1980.0,0.3,-0.2,7718.0,12,0.00024494658791608204
0,1980.0,0.44,-0.1,0.0,0,1.6998167860339214e-07
0,1980.0,0.6,0.08,0.0,0,4.164644709192235e-08
0,1980.0,0.82,0.16,0.0,0,1.1356566919387386e-08
0,2190.0,-0.4,-0.94,48.0,0,0.017276933888114923
0,2190.0,0.0,-0.46,8179.0,10,0.0002465739336279122
0,2190.0,0.04,-0.6,67.0,0,0.018645673727906487
0,2190.0,0.3,-0.2,8136.0,12,0.0002294752372475334
0,2190.0,0.44,-0.1,0.0,0,1.881499942961372e-07
0,2190.0,0.6,0.08,0.0,0,4.7534926391667775e-08
0,2190.0,0.82,0.16,0.0,0,1.3034454861936335e-08
0,2400.0,-0.4,-0.94,72.0,0,0.017342363663397465
0,2400.0,0.0,-0.46,7983.0,15,0.0002466325715201645
0,2400.0,0.04,-0.6,48.0,0,0.018610021522284786
0,2400.0,0.3,-0.2,8761.0,12,0.00024218074179100204
0,2400.0,0.44,-0.1,0.0,0,2.0070103906423305e-07
0,2400.0,0.6,0.08,0.0,0,5.2201911835862265e-08
0,2400.0,0.82,0.16,0.0,0,1.4402901589963207e-08
